series_id,gt_race_id,diff_index,gt_race_name,gt_normalized_name,gt_gender,ticket_position,gt_gender_rank,gt_time,gt_hour,gt_norm,placement_change,ws_series_id,ws_race_id,ws_date,ws_year,ws_rank,ws_status,nationality,ws_gender_rank,age_category,ws_time,ws_hour,ws_norm,delta_norm,delta_norm_pct,ws_race
141,141023,67.1,CCC,yngvild kaspersen,F,1,1,11:51:22,11.856111111111100,0.176693161119391,4,17002,108752,6/29/2024,2024,20,Finisher,NOR,5,20-34,16:50:39,16.844166666666700,0.216784641784642,0.040091480665251,22.689888171824300,Western States
3753,73545,50.6,The Canyons,marianne hogan,F,1,2,9:50:44,9.845555555555560,0.194576196750110,1,17002,119682,6/28/2025,2025,13,Finisher,CAN,3,35-39,16:50:58,16.849444444444400,0.216852566852567,0.022276370102457,11.448661488160400,Western States
10254,84317,5,Black Canyon,jeffrey colt,M,3,3,8:05:14,8.087222222222220,1.617444444444440,8,17002,87878,6/25/2022,2022,11,Finisher,USA,11,20-34,16:51:53,16.864722222222200,0.217049192049192,-1.400395252395250,-86.580732785307900,Western States
3753,73545,50.6,The Canyons,hannes namberger,M,2,3,8:32:17,8.538055555555560,0.168736275801493,8,17002,119682,6/28/2025,2025,14,Finisher,DEU,11,35-39,16:59:33,16.992500000000000,0.218693693693694,0.049957417892201,29.606803667382100,Western States
12057,90708,31.63,Javelina,dakota jones,M,1,1,12:58:02,12.967222222222200,0.409965925457547,16,17002,97204,6/24/2023,2023,19,Finisher,USA,17,20-34,17:00:38,17.010555555555600,0.218926068926069,-0.191039856531478,-46.598959735072200,Western States
32444,23444,41.42,Nice Cote d Azur,simon gosselin,M,2,2,11:46:29,11.774722222222200,0.284276248725790,14,17002,108752,6/29/2024,2024,22,Finisher,FRA,16,20-34,17:04:13,17.070277777777800,0.219694694694695,-0.064581554031095,-22.717885972032100,Western States
142,14222,100,UTMB,eszter csillag,F,2,5,26:32:39,26.544166666666700,0.265441666666667,-2,17002,97204,6/24/2023,2023,20,Finisher,HUN,3,35-39,17:07:55,17.131944444444400,0.220488345488345,-0.044953321178321,-16.935291939216200,Western States
10254,104108,5,Black Canyon,jupiter carera casas,M,2,2,7:39:56,7.665555555555560,1.533111111111110,15,17002,108752,6/29/2024,2024,23,Finisher,MEX,17,20-34,17:14:05,17.234722222222200,0.221811096811097,-1.311300014300010,-85.531962086535200,Western States
50001,23,25.35,Bandera,jp giblin,M,2,2,8:29:08,8.485555555555560,0.334735919351304,16,17002,97204,6/24/2023,2023,21,Finisher,USA,18,20-34,17:15:02,17.250555555555600,0.222014872014872,-0.112721047336432,-33.674619549308600,Western States
12057,99186,31.63,Javelina,heather jackson,F,1,1,14:24:47,14.413055555555600,0.455676748515825,6,17002,108752,6/29/2024,2024,24,Finisher,USA,7,40-44,17:16:43,17.278611111111100,0.222375947375947,-0.233300801139878,-51.198750407993600,Western States
29669,126002,41.02,Chianti (UTCC),fiona pascall,F,1,1,12:34:59,12.583055555555600,0.306754157863373,4,17002,119682,6/28/2025,2025,17,Finisher,GBR,5,35-39,17:21:52,17.364444444444400,0.223480623480623,-0.083273534382749,-27.146668512261600,Western States
25273,25073,91.8,Doi Inthanon,canhua luo,M,2,2,22:11:49,22.196944444444400,0.241796780440571,17,17002,97204,6/24/2023,2023,23,Finisher,CHN,19,20-34,17:23:14,17.387222222222200,0.223773773773774,-0.018023006666798,-7.453782731911610,Western States
141,141024,67.1,CCC,hau ha,F,3,4,12:36:16,12.604444444444400,0.187845669812883,2,17002,119682,6/28/2025,2025,18,Finisher,VNM,6,35-39,17:23:47,17.396388888888900,0.223891748891749,0.036046079078866,19.189198832622700,Western States
10254,104108,5,Black Canyon,rachel drake,F,1,1,8:47:23,8.789722222222220,1.757944444444440,7,17002,108752,6/29/2024,2024,25,Finisher,USA,8,20-34,17:28:35,17.476388888888900,0.224921349921350,-1.533023094523090,-87.205434697771100,Western States
12057,112165,31.63,Javelina,hannah allgood,F,2,2,14:38:30,14.641666666666700,0.462904415639161,5,17002,119682,6/28/2025,2025,19,Finisher,USA,7,20-34,17:39:02,17.650555555555600,0.227162877162877,-0.235741538476284,-50.926612603334300,Western States
