gt_race_id,gt_race_name,gt_normalized_name,gt_gender,ticket_position,gt_time,ws_series_id,ws_race_id,ws_date,ws_year,ws_rank,ws_status,nationality,ws_gender_rank,age_category,ws_time,ws_race
37543,The Canyons,cole watson,M,1,8:34:38,17002,97204,2023-06-24,2023,10,Finisher,USA,9,20-34,15:54:36,Western States
37543,The Canyons,adam merry,M,2,8:50:40,17002,97204,2023-06-24,2023,30,Finisher,USA,20,20-34,18:28:35,Western States
37543,The Canyons,ida nilsson,F,1,9:51:07,17002,97204,2023-06-24,2023,26,Finisher,SWE,7,40-44,17:43:34,Western States
93392,Black Canyon,meghan morgan,F,2,8:53:52,17002,97204,2023-06-24,2023,29,Finisher,USA,10,20-34,18:11:32,Western States
14222,UTMB,mathieu blanchard,M,1,19:54:50,17002,97204,2023-06-24,2023,7,Finisher,FRA,6,35-39,15:37:02,Western States
14222,UTMB,tom evans,M,2,20:34:35,17002,97204,2023-06-24,2023,1,Finisher,GBR,1,20-34,14:40:22,Western States
14222,UTMB,katie schide,F,1,23:15:12,17002,97204,2023-06-24,2023,17,Finisher,USA,2,20-34,16:43:45,Western States
14222,UTMB,eszter csillag,F,2,26:32:39,17002,97204,2023-06-24,2023,20,Finisher,HUN,3,35-39,17:07:55,Western States
90708,Javelina,dakota jones,M,1,12:58:02,17002,97204,2023-06-24,2023,19,Finisher,USA,17,20-34,17:00:38,Western States
90708,Javelina,jonathan rea,M,2,13:05:58,17002,97204,2023-06-24,2023,15,Finisher,USA,14,20-34,16:38:33,Western States
90708,Javelina,riley brady,F,2,14:45:43,17002,97204,2023-06-24,2023,43,Finisher,USA,14,20-34,20:59:02,Western States
25073,Doi Inthanon,jiaju zhao,M,1,21:53:49,17002,97204,2023-06-24,2023,,DNF,CHN,,20-34,,Western States
25073,Doi Inthanon,canhua luo,M,2,22:11:49,17002,97204,2023-06-24,2023,23,Finisher,CHN,19,20-34,17:23:14,Western States
25073,Doi Inthanon,jenny quilty,F,1,27:24:14,17002,97204,2023-06-24,2023,31,Finisher,CAN,11,20-34,18:49:13,Western States
25073,Doi Inthanon,wenfei xie,F,2,28:22:13,17002,97204,2023-06-24,2023,101,Finisher,CHN,22,40-44,23:46:39,Western States
23,Bandera,nicole bitter,F,2,10:04:03,17002,97204,2023-06-24,2023,,DNF,USA,,40-44,,Western States
23,Bandera,jeffrey colt,M,1,8:23:54,17002,97204,2023-06-24,2023,9,Finisher,USA,8,20-34,15:42:09,Western States
23,Bandera,jp giblin,M,2,8:29:08,17002,97204,2023-06-24,2023,21,Finisher,USA,18,20-34,17:15:02,Western States
23,Bandera,courtney dauwalter,F,1,8:59:37,17002,97204,2023-06-24,2023,6,Finisher,USA,1,35-39,15:29:33,Western States
89523,Tarawera,daniel jones,M,1,7:27:55,17002,97204,2023-06-24,2023,5,Finisher,NZL,5,20-34,15:22:15,Western States
89523,Tarawera,ryan montgomery,M,2,8:11:21,17002,97204,2023-06-24,2023,8,Finisher,USA,7,20-34,15:38:35,Western States
89523,Tarawera,nancy jiang,F,1,9:26:08,17002,97204,2023-06-24,2023,110,Finisher,NZL,23,20-34,23:57:22,Western States
89523,Tarawera,stephanie auston,F,2,9:27:29,17002,97204,2023-06-24,2023,37,Finisher,AUS,13,20-34,19:58:08,Western States
93392,Black Canyon,anthony costales,M,1,7:32:50,17002,97204,2023-06-24,2023,3,Finisher,USA,3,20-34,15:09:16,Western States
104108,Black Canyon,hayden hawks,M,1,7:30:18,17002,108752,2024-06-29,2024,3,Finisher,USA,3,20-34,14:24:31,Western States
141023,CCC,jonathan albon,M,1,10:14:25,17002,108752,2024-06-29,2024,6,Finisher,NOR,6,35-39,14:57:01,Western States
141023,CCC,dakota jones,M,2,10:41:40,17002,108752,2024-06-29,2024,28,Finisher,USA,18,20-34,17:41:07,Western States
141023,CCC,yngvild kaspersen,F,1,11:51:22,17002,108752,2024-06-29,2024,20,Finisher,NOR,5,20-34,16:50:39,Western States
141023,CCC,emily schmitz,F,2,12:42:24,17002,108752,2024-06-29,2024,33,Finisher,USA,12,40-44,18:39:55,Western States
37338,Grindstone,lotti brinks,F,1,10:37:25,17002,108752,2024-06-29,2024,35,Finisher,USA,14,20-34,18:53:39,Western States
37338,Grindstone,caleb olson,M,1,8:54:43,17002,108752,2024-06-29,2024,5,Finisher,USA,5,20-34,14:40:12,Western States
37338,Grindstone,caleb bowen,M,2,8:59:29,17002,108752,2024-06-29,2024,38,Finisher,USA,23,20-34,19:02:55,Western States
23444,Nice Cote d Azur,jim walmsley,M,1,11:21:05,17002,108752,2024-06-29,2024,1,Finisher,USA,1,20-34,14:13:45,Western States
23444,Nice Cote d Azur,simon gosselin,M,2,11:46:29,17002,108752,2024-06-29,2024,22,Finisher,FRA,16,20-34,17:04:13,Western States
23444,Nice Cote d Azur,eleanor davis,F,1,13:49:20,17002,108752,2024-06-29,2024,,DNF,GBR,,35-39,,Western States
23444,Nice Cote d Azur,giulia vinco,F,2,15:28:58,17002,108752,2024-06-29,2024,51,Finisher,ITA,19,20-34,20:46:40,Western States
99186,Javelina,jonathan rea,M,1,12:43:10,17002,108752,2024-06-29,2024,9,Finisher,USA,9,20-34,15:13:10,Western States
99186,Javelina,blake slattengren,M,2,12:58:07,17002,108752,2024-06-29,2024,11,Finisher,USA,11,20-34,15:18:57,Western States
99186,Javelina,heather jackson,F,1,14:24:47,17002,108752,2024-06-29,2024,24,Finisher,USA,7,40-44,17:16:43,Western States
