gt_race_id,gt_race_name,gt_normalized_name,gt_gender,ticket_position,gt_time,ws_series_id,ws_race_id,ws_date,ws_year,ws_rank,ws_status,nationality,ws_gender_rank,age_category,ws_time,ws_race
84317,Black Canyon,scott traer,M,2,0.33549768518518500,17002,87878,2022-06-25,2022,10,Finisher,USA,10,40-44,0.6912384259259260,Western States
81876,Javelina,camille herron,F,1,0.58568287037037000,17002,87878,2022-06-25,2022,23,Finisher,USA,8,40-44,0.7860416666666670,Western States
84317,Black Canyon,jeffrey colt,M,3,0.33696759259259300,17002,87878,2022-06-25,2022,11,Finisher,USA,11,20-34,0.7026967592592590,Western States
84317,Black Canyon,dominika stelmach,F,1,0.38254629629629600,17002,87878,2022-06-25,2022,48,Finisher,POL,17,40-44,0.9318865740740740,Western States
84317,Black Canyon,anne-marie madden,F,2,0.39157407407407400,17002,87878,2022-06-25,2022,28,Finisher,CAN,11,40-44,0.8185648148148150,Western States
84317,Black Canyon,taylor nowlin,F,3,0.40571759259259300,17002,87878,2022-06-25,2022,22,Finisher,USA,7,20-34,0.7824305555555560,Western States
14221,UTMB,camille bruyas,F,2,1.00673611111111000,17002,87878,2022-06-25,2022,27,Finisher,FRA,10,20-34,0.8155555555555560,Western States
81876,Javelina,arlen glick,M,1,0.55197916666666700,17002,87878,2022-06-25,2022,3,Finisher,USA,3,20-34,0.6640856481481480,Western States
93392,Black Canyon,janosch kowalczyk,M,2,0.31944444444444400,17002,97204,2023-06-24,2023,11,Finisher,DEU,10,20-34,0.6731365740740740,Western States
93392,Black Canyon,keely henninger,F,1,0.36493055555555600,17002,97204,2023-06-24,2023,,DNF,USA,,20-34,,Western States
37543,The Canyons,priscilla forgie,F,2,0.41689814814814800,17002,97204,2023-06-24,2023,27,Finisher,CAN,8,20-34,0.7406712962962960,Western States
37543,The Canyons,cole watson,M,1,0.35738425925925900,17002,97204,2023-06-24,2023,10,Finisher,USA,9,20-34,0.6629166666666670,Western States
37543,The Canyons,adam merry,M,2,0.36851851851851900,17002,97204,2023-06-24,2023,30,Finisher,USA,20,20-34,0.7698495370370370,Western States
37543,The Canyons,ida nilsson,F,1,0.41049768518518500,17002,97204,2023-06-24,2023,26,Finisher,SWE,7,40-44,0.7385879629629630,Western States
93392,Black Canyon,meghan morgan,F,2,0.37074074074074100,17002,97204,2023-06-24,2023,29,Finisher,USA,10,20-34,0.7580092592592590,Western States
14222,UTMB,mathieu blanchard,M,1,0.82974537037037000,17002,97204,2023-06-24,2023,7,Finisher,FRA,6,35-39,0.6507175925925930,Western States
14222,UTMB,tom evans,M,2,0.85734953703703700,17002,97204,2023-06-24,2023,1,Finisher,GBR,1,20-34,0.6113657407407410,Western States
14222,UTMB,katie schide,F,1,0.96888888888888900,17002,97204,2023-06-24,2023,17,Finisher,USA,2,20-34,0.6970486111111110,Western States
14222,UTMB,eszter csillag,F,2,1.10600694444444000,17002,97204,2023-06-24,2023,20,Finisher,HUN,3,35-39,0.7138310185185180,Western States
90708,Javelina,dakota jones,M,1,0.54030092592592600,17002,97204,2023-06-24,2023,19,Finisher,USA,17,20-34,0.7087731481481480,Western States
90708,Javelina,jonathan rea,M,2,0.54581018518518500,17002,97204,2023-06-24,2023,15,Finisher,USA,14,20-34,0.6934375000000000,Western States
90708,Javelina,riley brady,F,2,0.61508101851851800,17002,97204,2023-06-24,2023,43,Finisher,USA,14,20-34,0.8743287037037040,Western States
