Race_ID,Series_ID,Race_Date,Race_Name,Actual_Dist,Diff_Index,Gender,Ticket_Position,Name,Nationality,Age_Category,Gender_Rank,WS_Date,WS_Year,WS_ID,WS_Finisher_Flag,WS_DNF_Flag,WS_DNS_Flag,GT_Finish_Time,GT_Pace,WS_Finish_Time,WS_Pace,WS_Gender_Rank,Num_WS_Finish,Days_to_WS
35675,50487,4/15/2017,Lake Sonoma 50M,50.49,30.5,F,1,yiou wang,USA,20-34,1,6/24/2017,2017,41765,FALSE,TRUE,FALSE,0.307337963,8:45,,,,1,70
35675,50487,4/15/2017,Lake Sonoma 50M,50.49,30.5,F,2,magdalena boulet,USA,40-44,2,6/24/2017,2017,41765,TRUE,FALSE,FALSE,0.314571759,8:58,0.825868056,11:54,2,1,70
35675,50487,4/15/2017,Lake Sonoma 50M,50.49,30.5,M,1,zachary szablewski,USA,20-34,4,6/24/2017,2017,41765,TRUE,FALSE,FALSE,0.286967593,8:11,0.830023148,11:57,17,0,70
35675,50487,4/15/2017,Lake Sonoma 50M,50.49,30.5,M,2,jared burdick,USA,20-34,5,6/24/2017,2017,41765,TRUE,FALSE,FALSE,0.28849537,8:13,0.849872685,12:14,19,0,70
37338,37038,9/23/2023,Grindstone,65.71,38.4,M,1,caleb olson,USA,20-34,1,6/29/2024,2024,108752,TRUE,FALSE,FALSE,0.371331019,8:08,0.61125,8:48,5,0,280
37338,37038,9/23/2023,Grindstone,65.71,38.4,F,1,lotti brinks,USA,20-34,1,6/29/2024,2024,108752,TRUE,FALSE,FALSE,0.442650463,9:42,0.787256944,11:20,14,0,280
37338,37038,9/23/2023,Grindstone,65.71,38.4,M,2,caleb bowen,USA,20-34,2,6/29/2024,2024,108752,TRUE,FALSE,FALSE,0.374641204,8:12,0.79369213,11:26,23,0,280
37338,37038,9/23/2023,Grindstone,65.71,38.4,F,2,devon yanko,USA,40-44,2,6/29/2024,2024,108752,FALSE,FALSE,TRUE,0.44706019,9:47,,,,1,280
37539,3753,4/27/2019,The Canyons,61.7,41.5,F,1,kathryn drew,CAN,20-34,1,6/29/2019,2019,61359,TRUE,FALSE,FALSE,0.456990741,10:39,0.791064815,11:23,8,0,63
37539,3753,4/27/2019,The Canyons,61.7,41.5,M,1,brian condon,USA,20-34,2,6/29/2019,2019,61359,TRUE,FALSE,FALSE,0.401851852,9:22,0.725706019,10:27,17,1,63
