Athlete_Name,Athlete_Gender,Age,Age_Group,Nationality,Race_Name,Original_Year,Original_Gender_Rank,Original_Time,Next_Year,Next_Gender_Rank,Next_Time,Next_Status,Num_WS_Finishes
kyle curtin,M,35,35-39,USA,Western States,2021,9,0.762858796,2022,13,0.732164352,Finisher,1
alex nichols,M,37,35-39,USA,Western States,2021,10,0.773078704,2022,8,0.68650463,Finisher,2
beth pascall,F,,,,Western States,2021,1,0.715763889,2022,,,DNS,
ruth croft,F,33,20-34,NZL,Western States,2021,2,0.731805556,2022,1,0.723263889,Finisher,1
ragna debats,F,,,,Western States,2021,3,0.736956019,2022,,,DNS,
brittany peterson,F,36,35-39,USA,Western States,2021,4,0.755347222,2022,16,0.927858796,Finisher,2
katie asmuth,F,36,35-39,USA,Western States,2021,5,0.76625,2022,9,0.812800926,Finisher,1
audrey tanguy,F,,,,Western States,2021,6,0.776215278,2022,,,DNS,
emily hawgood,F,27,20-34,ZWE,Western States,2021,7,0.801331019,2022,5,0.761134259,Finisher,1
camelia mayfield,F,,,,Western States,2021,8,0.803703704,2022,,,DNS,
keely henninger,F,30,20-34,USA,Western States,2021,9,0.821261574,2022,,,DNF,1
kaci lickteig,F,35,35-39,USA,Western States,2021,10,0.824953704,2022,18,0.962604167,Finisher,7
adam peterman,M,,,,Western States,2022,1,0.634583333,2023,,,DNS,
hayden hawks,M,32,20-34,USA,Western States,2022,2,0.657951389,2023,,,DNF,2
arlen glick,M,30,20-34,USA,Western States,2022,3,0.664085648,2023,13,0.692534722,Finisher,1
tyler green,M,39,35-39,USA,Western States,2022,4,0.664699074,2023,2,0.627881944,Finisher,3
drew holmen,M,,,,Western States,2022,5,0.672916667,2023,,,DNS,
ludovic pommeret,M,47,45-49,FRA,Western States,2022,6,0.680578704,2023,12,0.681875,Finisher,1
vincent viet,M,,,,Western States,2022,7,0.686365741,2023,,,DNS,
alex nichols,M,38,35-39,USA,Western States,2022,8,0.68650463,2023,28,0.856365741,Finisher,3
cody lind,M,28,20-34,USA,Western States,2022,9,0.68724537,2023,16,0.705115741,Finisher,2
scott traer,M,42,40-44,USA,Western States,2022,10,0.691238426,2023,15,0.695,Finisher,1
ruth croft,F,,,,Western States,2022,1,0.723263889,2023,,,DNS,
ailsa macdonald,F,,,,Western States,2022,2,0.740810185,2023,,,DNS,
marianne hogan,F,,,,Western States,2022,3,0.754027778,2023,,,DNS,
luzia buehler,F,,,,Western States,2022,4,0.755925926,2023,,,DNS,
emily hawgood,F,28,20-34,ZWE,Western States,2022,5,0.761134259,2023,5,0.726643519,Finisher,2
leah yingling,F,32,20-34,USA,Western States,2022,6,0.772581019,2023,9,0.742361111,Finisher,1
taylor nowlin,F,32,20-34,USA,Western States,2022,7,0.782430556,2023,6,0.736238426,Finisher,1
camille herron,F,41,40-44,USA,Western States,2022,8,0.786041667,2023,,,DNF,2
katie asmuth,F,37,35-39,USA,Western States,2022,9,0.812800926,2023,4,0.722986111,Finisher,2
camille bruyas,F,,,,Western States,2022,10,0.815555556,2023,,,DNS,
tom evans,M,,,,Western States,2023,1,0.611365741,2024,,,DNS,
tyler green,M,40,40-44,USA,Western States,2023,2,0.627881944,2024,7,0.628923611,Finisher,4
anthony costales,M,,,,Western States,2023,3,0.631435185,2024,,,DNS,
jiasheng shen,M,29,20-34,CHN,Western States,2023,4,0.638680556,2024,8,0.63181713,Finisher,1
daniel jones,M,33,20-34,NZL,Western States,2023,5,0.640451389,2024,4,0.605891204,Finisher,1
mathieu blanchard,M,,,,Western States,2023,6,0.650717593,2024,,,DNS,
ryan montgomery,M,30,20-34,USA,Western States,2023,7,0.651793981,2024,20,0.7740625,Finisher,1
jeffrey colt,M,33,20-34,USA,Western States,2023,8,0.654270833,2024,,,DNF,2
cole watson,M,32,20-34,USA,Western States,2023,9,0.662916667,2024,15,0.697638889,Finisher,2
janosch kowalczyk,M,,,,Western States,2023,10,0.673136574,2024,,,DNS,
courtney dauwalter,F,,,,Western States,2023,1,0.645520833,2024,,,DNS,
katie schide,F,32,20-34,USA,Western States,2023,2,0.697048611,2024,1,0.657604167,Finisher,1
eszter csillag,F,39,35-39,HUN,Western States,2023,3,0.713831019,2024,3,0.696030093,Finisher,1
katie asmuth,F,,,,Western States,2023,4,0.722986111,2024,,,DNS,
emily hawgood,F,29,20-34,ZWE,Western States,2023,5,0.726643519,2024,4,0.700497685,Finisher,3
taylor nowlin,F,,,,Western States,2023,6,0.736238426,2024,,,DNS,
ida nilsson,F,43,40-44,SWE,Western States,2023,7,0.738587963,2024,6,0.706157407,Finisher,1
priscilla forgie,F,33,20-34,CAN,Western States,2023,8,0.740671296,2024,9,0.729444444,Finisher,1
leah yingling,F,33,20-34,USA,Western States,2023,9,0.742361111,2024,10,0.731875,Finisher,2
meghan morgan,F,,,,Western States,2023,10,0.758009259,2024,,,DNS,
jim walmsley,M,,,,Western States,2024,1,0.592881944,2025,,,DNS,
rod farvard,M,29,20-34,USA,Western States,2024,2,0.600173611,2025,,,DNF,3
hayden hawks,M,,,,Western States,2024,3,0.600358796,2025,,,DNS,
daniel jones,M,34,20-34,NZL,Western States,2024,4,0.605891204,2025,5,0.608530093,Finisher,2
caleb olson,M,29,20-34,USA,Western States,2024,5,0.61125,2025,1,0.591261574,Finisher,1
jonathan albon,M,,,,Western States,2024,6,0.622928241,2025,,,DNS,
tyler green,M,,,,Western States,2024,7,0.628923611,2025,,,DNS,
jiasheng shen,M,,,,Western States,2024,8,0.63181713,2025,,,DNS,
jonathan rea,M,,,,Western States,2024,9,0.634143519,2025,,,DNS,
chris myers,M,29,20-34,USA,Western States,2024,10,0.637789352,2025,2,0.595590278,Finisher,1
katie schide,F,,,,Western States,2024,1,0.657604167,2025,,,DNS,
fuzhao xiang,F,33,20-34,CHN,Western States,2024,2,0.680590278,2025,2,0.699409722,Finisher,1
eszter csillag,F,40,40-44,HUN,Western States,2024,3,0.696030093,2025,,,DNF,2
emily hawgood,F,30,20-34,ZWE,Western States,2024,4,0.700497685,2025,10,0.757696759,Finisher,4
yngvild kaspersen,F,,,,Western States,2024,5,0.701840278,2025,,,DNS,
ida nilsson,F,43,40-44,SWE,Western States,2024,6,0.706157407,2025,4,0.708888889,Finisher,2
heather jackson,F,41,40-44,USA,Western States,2024,7,0.71994213,2025,,,DNF,1
rachel drake,F,,,,Western States,2024,8,0.72818287,2025,,,DNS,
priscilla forgie,F,,,,Western States,2024,9,0.729444444,2025,,,DNS,
leah yingling,F,,,,Western States,2024,10,0.731875,2025,,,DNS,
caleb olson,M,,,,Western States,2025,1,0.591261574,2026,,,DNS,
chris myers,M,,,,Western States,2025,2,0.595590278,2026,,,DNS,
kilian jornet,M,,,,Western States,2025,3,0.596782407,2026,,,DNS,
jeff mogavero,M,,,,Western States,2025,4,0.604293981,2026,,,DNS,
daniel jones,M,,,,Western States,2025,5,0.608530093,2026,,,DNS,
seth ruhling,M,,,,Western States,2025,6,0.624722222,2026,,,DNS,
ryan montgomery,M,,,,Western States,2025,7,0.662835648,2026,,,DNS,
hans troyer,M,,,,Western States,2025,8,0.671435185,2026,,,DNS,
peter frano,M,,,,Western States,2025,9,0.67412037,2026,,,DNS,
kai hiroki,M,,,,Western States,2025,10,0.682476852,2026,,,DNS,
abby hall,F,,,,Western States,2025,1,0.692546296,2026,,,DNS,
fuzhao xiang,F,,,,Western States,2025,2,0.699409722,2026,,,DNS,
marianne hogan,F,,,,Western States,2025,3,0.702060185,2026,,,DNS,
ida nilsson,F,,,,Western States,2025,4,0.708888889,2026,,,DNS,
fiona pascall,F,,,,Western States,2025,5,0.723518519,2026,,,DNS,
hau ha,F,,,,Western States,2025,6,0.724849537,2026,,,DNS,
hannah allgood,F,,,,Western States,2025,7,0.735439815,2026,,,DNS,
caitlin fielder,F,,,,Western States,2025,8,0.741273148,2026,,,DNS,
keely henninger,F,,,,Western States,2025,9,0.748194444,2026,,,DNS,
emily hawgood,F,,,,Western States,2025,10,0.757696759,2026,,,DNS,
