runner_name,original_gender,original_race,original_year,original_rank,original_time,next_year,next_rank,next_time,next_status
kyle curtin,M,Western States,2021,9,0.762858796296296,2022,13,0.732164351851852,Finisher
alex nichols,M,Western States,2021,10,0.773078703703704,2022,8,0.686504629629630,Finisher
ruth croft,F,Western States,2022,1,0.723263888888889,,,,DNS
ailsa macdonald,F,Western States,2022,2,0.740810185185185,,,,DNS
marianne hogan,F,Western States,2022,3,0.754027777777778,,,,DNS
luzia buehler,F,Western States,2022,4,0.755925925925926,,,,DNS
emily hawgood,F,Western States,2022,5,0.761134259259259,2023,5,0.726643518518518,Finisher
leah yingling,F,Western States,2022,6,0.772581018518519,2023,9,0.742361111111111,Finisher
taylor nowlin,F,Western States,2022,7,0.782430555555556,2023,6,0.736238425925926,Finisher
camille herron,F,Western States,2022,8,0.786041666666667,2023,,,DNF
katie asmuth,F,Western States,2022,9,0.812800925925926,2023,4,0.722986111111111,Finisher
camille bruyas,F,Western States,2022,10,0.815555555555556,,,,DNS
adam peterman,M,Western States,2022,1,0.634583333333333,,,,DNS
hayden hawks,M,Western States,2022,2,0.657951388888889,2023,,,DNF
arlen glick,M,Western States,2022,3,0.664085648148148,2023,13,0.692534722222222,Finisher
tyler green,M,Western States,2022,4,0.664699074074074,2023,2,0.627881944444444,Finisher
drew holmen,M,Western States,2022,5,0.672916666666667,,,,DNS
ludovic pommeret,M,Western States,2022,6,0.680578703703704,2023,12,0.681875000000000,Finisher
vincent viet,M,Western States,2022,7,0.686365740740741,,,,DNS
alex nichols,M,Western States,2022,8,0.686504629629630,2023,28,0.856365740740741,Finisher
cody lind,M,Western States,2022,9,0.687245370370370,2023,16,0.705115740740741,Finisher
scott traer,M,Western States,2022,10,0.691238425925926,2023,15,0.695000000000000,Finisher
courtney dauwalter,F,Western States,2023,1,0.645520833333333,,,,DNS
katie schide,F,Western States,2023,2,0.697048611111111,2024,1,0.657604166666667,Finisher
eszter csillag,F,Western States,2023,3,0.713831018518518,2024,3,0.696030092592593,Finisher
katie asmuth,F,Western States,2023,4,0.722986111111111,,,,DNS
emily hawgood,F,Western States,2023,5,0.726643518518518,2024,4,0.700497685185185,Finisher
taylor nowlin,F,Western States,2023,6,0.736238425925926,,,,DNS
ida nilsson,F,Western States,2023,7,0.738587962962963,2024,6,0.706157407407407,Finisher
priscilla forgie,F,Western States,2023,8,0.740671296296296,2024,9,0.729444444444444,Finisher
leah yingling,F,Western States,2023,9,0.742361111111111,2024,10,0.731875000000000,Finisher
meghan morgan,F,Western States,2023,10,0.758009259259259,,,,DNS
tom evans,M,Western States,2023,1,0.611365740740741,,,,DNS
tyler green,M,Western States,2023,2,0.627881944444444,2024,7,0.628923611111111,Finisher
anthony costales,M,Western States,2023,3,0.631435185185185,,,,DNS
jiasheng shen,M,Western States,2023,4,0.638680555555556,2024,8,0.631817129629630,Finisher
daniel jones,M,Western States,2023,5,0.640451388888889,2024,4,0.605891203703704,Finisher
mathieu blanchard,M,Western States,2023,6,0.650717592592593,,,,DNS
ryan montgomery,M,Western States,2023,7,0.651793981481481,2024,20,0.774062500000000,Finisher
jeffrey colt,M,Western States,2023,8,0.654270833333333,2024,,,DNF
cole watson,M,Western States,2023,9,0.662916666666667,2024,15,0.697638888888889,Finisher
janosch kowalczyk,M,Western States,2023,10,0.673136574074074,,,,DNS
katie schide,F,Western States,2024,1,0.657604166666667,,,,DNS
fuzhao xiang,F,Western States,2024,2,0.680590277777778,2025,2,0.699409722222222,Finisher
eszter csillag,F,Western States,2024,3,0.696030092592593,2025,,,DNF
emily hawgood,F,Western States,2024,4,0.700497685185185,2025,10,0.757696759259259,Finisher
yngvild kaspersen,F,Western States,2024,5,0.701840277777778,,,,DNS
ida nilsson,F,Western States,2024,6,0.706157407407407,2025,4,0.708888888888889,Finisher
heather jackson,F,Western States,2024,7,0.719942129629630,2025,,,DNF
rachel drake,F,Western States,2024,8,0.728182870370370,,,,DNS
priscilla forgie,F,Western States,2024,9,0.729444444444444,,,,DNS
leah yingling,F,Western States,2024,10,0.731875000000000,,,,DNS
jim walmsley,M,Western States,2024,1,0.592881944444444,,,,DNS
rod farvard,M,Western States,2024,2,0.600173611111111,2025,,,DNF
hayden hawks,M,Western States,2024,3,0.600358796296296,,,,DNS
daniel jones,M,Western States,2024,4,0.605891203703704,2025,5,0.608530092592593,Finisher
caleb olson,M,Western States,2024,5,0.611250000000000,2025,1,0.591261574074074,Finisher
jonathan albon,M,Western States,2024,6,0.622928240740741,,,,DNS
tyler green,M,Western States,2024,7,0.628923611111111,,,,DNS
jiasheng shen,M,Western States,2024,8,0.631817129629630,,,,DNS
jonathan rea,M,Western States,2024,9,0.634143518518518,,,,DNS
chris myers,M,Western States,2024,10,0.637789351851852,2025,2,0.595590277777778,Finisher
abby hall,F,Western States,2025,1,0.692546296296296,,,,DNS
fuzhao xiang,F,Western States,2025,2,0.699409722222222,,,,DNS
marianne hogan,F,Western States,2025,3,0.702060185185185,,,,DNS
ida nilsson,F,Western States,2025,4,0.708888888888889,,,,DNS
fiona pascall,F,Western States,2025,5,0.723518518518519,,,,DNS
hau ha,F,Western States,2025,6,0.724849537037037,,,,DNS
hannah allgood,F,Western States,2025,7,0.735439814814815,,,,DNS
caitlin fielder,F,Western States,2025,8,0.741273148148148,,,,DNS
keely henninger,F,Western States,2025,9,0.748194444444444,,,,DNS
emily hawgood,F,Western States,2025,10,0.757696759259259,,,,DNS
caleb olson,M,Western States,2025,1,0.591261574074074,,,,DNS
chris myers,M,Western States,2025,2,0.595590277777778,,,,DNS
kilian jornet,M,Western States,2025,3,0.596782407407407,,,,DNS
jeff mogavero,M,Western States,2025,4,0.604293981481482,,,,DNS
daniel jones,M,Western States,2025,5,0.608530092592593,,,,DNS
seth ruhling,M,Western States,2025,6,0.624722222222222,,,,DNS
ryan montgomery,M,Western States,2025,7,0.662835648148148,,,,DNS
hans troyer,M,Western States,2025,8,0.671435185185185,,,,DNS
peter frano,M,Western States,2025,9,0.674120370370370,,,,DNS
kai hiroki,M,Western States,2025,10,0.682476851851852,,,,DNS
